Anhang zur Grünflächensatzung
Alle Grunflächen nach laufender Nummer sortiert in einer Übersicht:
Lfd. Nr.;Anlagenbezeichnung;X-Wert;Y-Wert
385;Appelsgasse Spielplatz Nr. 161;3474174;5554318
386;Kaufunger Strasse Spielplatz Nr. 470;3474195;5554183
387;Louis-Pasteur-Strasse Spielplatz;3474195;5559212
388;Frankenallee;3474200;5552105
389;Melibocusstrasse;3474206;5550021
390;Kalbacher Stadtpfad;3474217;5561258
391;Alter Friedhof Bockenheim;3474220;5553626
392;Appelsgasse Nord (Spielplatz Nr. 129);3474241;5554312
393;Am Forum;3474271;5557557
394;Grempstrasse Spielplatz 464;3474280;5554288
395;Walter-Abschlag-Weg;3474284;5558939
396;Prozessionsweg Spielplatz;3474301;5560131
397;Hülya Platz;3474301;5554220
398;Erntestrasse Spielplatz;3474303;5550996
399;August-Belz-Anlage;3474304;5549685
400;Kleyerstrasse Ecke Lahnstrasse;3474309;5551754
401;Arboretum an der Nidda Rosa- Luxemburg-Strasse;3474319;5557173
402;Kleine Seestrasse Spielplatz Nr. 376;3474320;5554160
403;An der Schwanenwiese;3474327;5555205
404;Ohmstraße 16 und 16 a;3474333;5553592
405;Grempstrasse;3474335;5554271
406;Hans-Eick-Weg Spielplatz Nr.8;3474342;5554345
407;Grünzug Crutzenkirche;3474355;5560048
408;Rudolf-Menzer-Anlage;3474405;5549484
409;Konrad-Broßwitz-Strasse;3474405;5554509
410;Am Bonifatiusbrunnen Spielplatz;3474410;5559931
411;Theodor-Heuss-Allee;3474414;5553198
412;Buber - Neumann - Weg;3474414;5558792
413;Durchgang Marie-Curie-Strasse/Olof-Palme-Strasse;3474414;5559683
414;Cohausenstrasse;3474415;5558366
415;Bonifatiuspark;3474416;5560264
416;Waldfriedstrasse - Spielplatz;3474419;5549043
417;Paul -Gerhard Ring - Spielplatz Nr. 434;3474435;5549204
418;Kalbacher Hauptstrasse;3474444;5561443
419;Willemineallee - Bolzplatz;3474466;5549315
420;Urselbachaue Renaturierung;3474472;5559054
421;Im Mainfeld (Spielplatz);3474474;5550504
422;Vogelschutzgehölz Kätcheslachmulde;3474482;5560854
423;In der Römerststadt vor Haus 72;3474484;5557804
424;Hinter Ginnheimer Landstrasse;3474502;5555470
425;Kurfuerstenplatz;3474507;5553914
426;Hessenplatz (Spielplatz135);3474515;5554302
427;Kandelstrasse;3474517;5550008
428;Hadrianstrasse an der Nidda;3474537;5557372
429;Willemineallee - Gruenverbindung;3474540;5549277
430;Zeilweg;3474564;5558722 431 Renoirallee;3474565;5560164
432;Im Brombeerfeld;3474575;5561643
433;Ginnheim gegenüber Hadrianstrasse;3474576;5557284
434;Reichelstrasse;3474578;5556140
435;Bruchfeldstraße;3474587;5550087
436;Römerstadt Bastionen An der Ringmauer;3474591;5557631
437;Heckenrosenweg;3474607;5561555
438;Niederräder Kirchpfad Strassenspielplatz;3474614;5550312
439;August-Scheidel-Str.;3474639;5555705
440;Pissaroweg Spielplatz;3474641;5560266
441;Bruchfeldplatz;3474655;5550151
442;Kalbacher Hauptstrasse Verkehrsgrün;3474666;5561372
443;Rohmerplatz Platz, Rohmerstrasse;3474699;5553972
444;Margarete-und-Fritz-Kahl-Anlage;3474701;5554861
445;Hellerhofstrasse;3474701;5552331
446;An der Sandelmühle nördlich;3474727;5559064
447;Rohmerplatz Spielplatz 330;3474728;5554012
448;Grünzug am Zubringer zur A661;3474732;5560161
449;In der Römerstadt 21;3474740;5557892
450;Karl-Perotte-Platz;3474754;5558294
451;Licht- und Luftbad Niederrad;3474756;5550875
452;Carl von Weinbergpark;3474761;5548837
453;Römerstadt Grünanlagen an der Nidda;3474778;5557711
454;Elli-Lucht-Park;3474797;5550467
455;Riedwiesen NSG;3474802;5559638
456;Ginnheimer Landstrasse;3474811;5556009
457;Gutenbergstrasse;3474841;5552297
458;Leipziger Ladengalerie;3474858;5553859
459;Adalbertstr. Kinderspielplatz;3474892;5553721
460;Sommerhoffpark;3474922;5551183
461;Kalbacher Hauptstrasse/Landesstrasse;3474926;5561308
462;Lilienthalallee;3474941;5554898
463;Kalbach In den Seewiesen;3474949;5560975
464;Theodor-W.-Adorno- Platz;3474956;5553440
465;Gräfstraße/Kiesstraße(Spielplatz);3474960;5553594
466;Zeppelinallee;3475003;5554598
467;Waldfriedstrasse/Golfstrasse;3475014;5549009
468;Heddernheim Stiftsgarten;3475021;5558036
469;An der Sandelmühle Vogelschutzgehölz;3475026;5558794
470;Am Martinszehnten Grünzug am Frischemarkt;3475032;5562327
471;Am Ginnheimer Hang rechts;3475057;5556996
472;Rennbahnstrasse Ecke Bruchfeldstrasse;3475057;5550195
473;Rennbahnstrasse Knotenpunkt;3475059;5549943
474;Ginnheimerhöhe zwischen Frauenlobstrasse und A 66;3475071;5555104
475;An der Sandelmühle;3475076;5558652
476;Am Eisernen Schlag bis Rebgärten;3475102;5555827
477;Merkurbrunnen;3475117;5553092
478;Maybachbrücke 1. Abschnitt;3475119;5558283
479;Ginnheimer Hohl Kirchplatz und alter Friedhof;3475168;5556581
480;Am Rotzlöffel;3475173;5557196
481;Ludwig-Erhard-Anlage;3475187;5553126
482;Gegen das Feld an der Nidda;3475199;5559070
483;Höhenblick;3475222;5556956
484;Senckenberganlage;3475225;5553410
485;Ginnheimer-Höhe;3475258;5555288
486;Das Heilige Gewann A661;3475279;5559429
487;An der Hecke;3475280;5557598
488;Anna-Lindh-Allee;3475315;5563003
489;Höllbergstrasse;3475351;5557474
490;Heilbronner Strasse;3475367;5551687
491;Maybachstrasse;3475385;5558184
492;Friedrich-Ebert-Anlage;3475392;5552953
493;Am Martinszehnten Grünzug am Sunflower;3475412;5561725
494;Heidelbergerstrasse;3475433;5551748
495;Güterplatz;3475453;5552474
496;Christuskirche;3475455;5553589
497;Beethovenstrasse;3475492;5553188
498;Frauenlobstrasse/Ecke Miquelallee;3475497;5554624
499;Platenstrasse;3475497;5555944
500;Fritz-von-Unruh Anlage;3475510;5556732
501;Am Burghof alter Hubschrauberlandeplatz;3475526;5560154
502;Eschersheimer Landstrasse / Am Weissen Stein;3475528;5557917
503;Sudermannstrasse Spielplatz;3475541;5556221
504;Buchenrode Park;3475551;5550532
505;Spielplatz Schönstrasse;3475584;5551826
506;Karpfenweg;3475618;5551353
